T_K,P_CO_bar,P_H2_bar,CO_cov,H_cov,vacancy,CH4_TOF,MeOH_TOF,EtOH_TOF,PrOH_TOF,CO2_TOF,S_CH4,S_MeOH,S_EtOH,S_PrOH,max_rel_residual,max_abs_balance,success
523.0,0.1,0.5,0.9998693376264004,5.347929831007127e-10,7.982061802053341e-13,5.944772762866798e-16,3.182137708007855e-16,4.3376296063718065e-18,2.6446428188766004e-304,5.988019345201092e-16,0.6452127370207753,0.345371616722765,0.009415646256459645,8.611046879377297e-289,4.803117099613418e-15,1.6828812437480147e-23,True
523.0,0.1,1.0,0.9996625577181694,7.561550793055845e-10,7.980411056356067e-13,8.417989413600255e-16,1.2723048900789327e-15,1.2362359527439353e-17,2.6440959319679196e-304,8.541138909480882e-16,0.3935794391587214,0.5948606258249024,0.011559935016376128,3.708706709601507e-289,5.045436357385248e-15,8.033641937803354e-24,True
523.0,0.1,2.0,0.9991090387896486,1.06877265496634e-09,7.975992256689155e-13,1.19327014195433e-15,5.083390720371125e-15,3.530257546613414e-17,2.642631922022337e-304,1.2283956954529785e-15,0.18799749994122056,0.8008787893485629,0.011123710710216523,1.2490252889208958e-289,4.8881227711739044e-15,9.347444294276275e-23,True
523.0,0.1,5.0,0.9966978085940202,1.6857996269473645e-09,7.956743153115109e-13,1.898652014443259e-15,3.161423372765681e-14,1.4184098257115942e-16,2.636254231157106e-304,2.0394577679710713e-15,0.05617884132169995,0.9354273487624627,0.00839380991583733,2.3401082506305874e-290,5.821027662086733e-15,1.5566569523532156e-22,True
523.0,0.1,10.0,0.9909812810948789,2.37040687945528e-09,7.911107514462959e-13,2.711768007859998e-15,1.2498403612079174e-13,4.0783138876006045e-16,2.621133986910782e-304,3.1156233866775562e-15,0.021101369964439832,0.9725516261676825,0.0063470038678777865,6.118832933775111e-291,7.439124550857303e-15,3.1700800577670965e-21,True
523.0,0.3,0.5,0.9996949966238379,1.782332448572671e-10,2.660223339847549e-13,1.95326617845265e-16,1.0603426876617425e-16,4.214609004505926e-18,5.892647494732269e-39,1.9953785904841053e-16,0.6305127727839319,0.34227777835604334,0.02720944886002465,5.706425809131471e-23,4.61321428474802e-15,5.4670838261759595e-24,True
523.0,0.3,1.0,0.9991695334762494,2.519273835596497e-10,2.6588250640392623e-13,2.726687963973632e-16,4.236833954689199e-16,1.1787218987860474e-17,1.647161523282693e-38,2.844430475863303e-16,0.3787452569398681,0.5885091312178603,0.03274561184227151,6.863872462854364e-23,3.931656522789388e-15,3.3946756639168326e-24,True
523.0,0.3,2.0,0.9977160688683958,3.5576085306259195e-10,2.654957343898107e-13,3.758751740332252e-16,1.6897418899211734e-15,3.2553017831935375e-17,4.5423843234460587e-38,4.0837781675492303e-16,0.17640733049759738,0.7930368287760619,0.03055584072634067,6.395553215140697e-23,4.514644885940016e-15,3.05391674906556e-23,True
523.0,0.3,5.0,0.9912274132652216,5.588490276237631e-10,2.6376908044654885e-13,5.529766631591308e-16,1.0422717116923521e-14,1.199066584365386e-16,1.4138988856371717e-36,6.725793312658345e-16,0.0493046509960506,0.9293130508341083,0.021382298169841177,3.781992753642728e-22,6.311815559918213e-15,1.4042234348167507e-22,True
523.0,0.3,10.0,0.9757821839237224,7.780169836868448e-10,2.5965905091531027e-13,7.036030246675233e-16,4.039318129237434e-14,3.050144911770841e-16,1.2664383963478808e-35,1.0074491406520328e-15,0.016870217813493613,0.9685031796221958,0.01462660256431057,9.10957919937427e-22,1.5294273533909894e-14,2.0559614829904656e-23,True
